codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;29.763.633,44;31.712.105,31;0000;"Receitas Correntes";S;01;000;31.043.680,80;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;2.554.608,77;2.729.464,60;0000;"Impostos, Taxas e Contribuicoes de Melhoria";S;02;000;2.821.608,77;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;2.513.580,64;2.645.325,74;0000;Impostos;S;03;000;2.780.580,64;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;657.713,94;629.726,36;0000;"Impostos sobre a Renda e Proventos de Qualquer Natureza";S;04;000;657.713,94;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;657.713,94;629.726,36;0000;"Imposto sobre a Renda - Retido na Fonte";S;05;000;657.713,94;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;657.713,94;600.228,61;0000;"Imposto sobre a Renda - Retido na Fonte - Trabalho";S;06;000;657.713,94;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;657.713,94;600.228,61;0000;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal";S;06;000;657.713,94;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;559.990,05;474.775,18;0000;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Executivo/Indiretas";S;07;000;559.990,05;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;335.994,03;284.865,09;0001;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Executivo/Indiretas - PROPRIO";A;08;000;335.994,03;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;139.997,51;118.693,82;0020;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Executivo/Indiretas - MDE";A;08;000;139.997,51;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;83.998,51;71.216,27;0040;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Executivo/Indiretas- ASPS";A;08;000;83.998,51;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;41.090,88;40.384,85;0000;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Legislativo";S;07;000;41.090,88;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;24.654,53;24.230,88;0001;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Legislativo - PROPRIO";A;08;000;24.654,53;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;10.272,72;10.096,22;0020;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Legislativo - MDE";A;08;000;10.272,72;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;6.163,63;6.057,75;0040;"IRRF sobre Rendimentos do  Trabalho - Principal  - Ativos/Inativos do Poder Legislativo - ASPS";A;08;000;6.163,63;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;56.633,01;85.068,58;0000;"IRRF sobre Rendimentos do  Trabalho - Principal  - Inativos pagos pelo RPPS";S;07;000;56.633,01;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;33.979,81;51.041,16;0001;"IRRF sobre Rendimentos do  Trabalho - Principal  - Inativos pagos pelo RPPS - PROPRIO";A;08;000;33.979,81;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;14.158,25;21.267,14;0020;"IRRF sobre Rendimentos do  Trabalho - Principal  - Inativos pagos pelo RPPS - MDE";A;08;000;14.158,25;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input\BAL_REC.TXT"
