codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.0.0.0.00.0.0.00.00.00.00.000;02;0201;39.964.874,69;30.705.927,90;0000;"RECEITAS CORRENTES";S;01;000;42.617.160,22;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.0.0.00.0.0.00.00.00.00.000;02;0201;3.583.043,00;2.657.799,97;0000;"IMPOSTOS, TAXAS E CONTRIBUICOES DE MELHORIA";S;02;000;3.583.043,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.0.00.0.0.00.00.00.00.000;02;0201;3.524.686,00;2.395.064,46;0000;IMPOSTOS;S;03;000;3.524.686,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.00.0.0.00.00.00.00.000;02;0201;765.567,00;699.733,58;0000;"IMPOSTOS SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA";S;04;000;765.567,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.0.0.00.00.00.00.000;02;0201;765.567,00;699.733,58;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE";S;05;000;765.567,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.0.00.00.00.00.000;02;0201;765.567,00;614.937,66;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO";S;06;000;765.567,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.00.00.00.00.000;02;0201;765.567,00;614.937,66;0000;"IMPOSTO SOBRE A RENDA - RETIDO NA FONTE - TRABALHO - PRINCIPAL";S;06;000;765.567,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.00.00.00.000;02;0201;562.135,00;420.199,30;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS";S;07;000;562.135,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.01.00.00.000;02;0201;337.281,00;252.119,56;0001;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - PROPRIO";A;08;000;337.281,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.02.00.00.000;02;0201;140.533,75;105.049,84;0020;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS - MDE";A;08;000;140.533,75;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;84.320,25;63.029,90;0040;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER EXECUTIVO/INDIRETAS- ASPS";A;08;000;84.320,25;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;35.756,00;25.656,79;0000;"IRRF SOBRE RENDIMENTOS DO  TRABALHO - PRINCIPAL  - ATIVOS/INATIVOS DO PODER LEGISLATIVO";S;07;000;35.756,00;0000;0000;0000;2022-01-01;2022-08-31;2022-09-12;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2022\MES08\BAL_REC.TXT"
